Make,OS,Screen_size,Release_year,Price
apple,ios,5,2010,49112
apple,ios,8,2014,39494
samsung,android,10,2015,73146
apple,ios,5,2020,56827
apple,ios,8,2016,51006
microsoft,windows,9,2017,80372
microsoft,windows,7,2010,40010
huawei,android,5,2019,43541
huawei,android,6,2011,26354
google,android,9,2017,82654
apple,ios,6,2013,46840
huawei,android,6,2010,31919
huawei,android,8,2014,31086
samsung,android,6,2014,40866
microsoft,windows,8,2010,40475
samsung,android,7,2015,53838
samsung,android,7,2015,41656
apple,ios,7,2011,53562
apple,ios,8,2020,59817
google,android,10,2011,50800
microsoft,windows,7,2016,46196
huawei,android,9,2018,49265
microsoft,windows,9,2020,76886
google,android,9,2014,59652
microsoft,windows,6,2012,38802
huawei,android,5,2011,26110
microsoft,windows,9,2010,64560
huawei,android,5,2010,34360
apple,ios,10,2020,83894
samsung,android,5,2015,43254
google,android,7,2013,35119
huawei,android,10,2015,54599
samsung,android,10,2012,57042
apple,ios,7,2012,39061
google,android,9,2017,77256
google,android,10,2010,66262
huawei,android,10,2016,61493
microsoft,windows,8,2012,37346
google,android,10,2010,61660
samsung,android,6,2019,52839
samsung,android,5,2010,37843
apple,ios,8,2012,51244
huawei,android,6,2015,43417
samsung,android,9,2011,58450
google,android,6,2018,43144
microsoft,windows,8,2017,41520
google,android,7,2010,41562
apple,ios,7,2011,53496
huawei,android,8,2017,42896
microsoft,windows,9,2013,59218
microsoft,windows,8,2018,55103
huawei,android,6,2012,32344
apple,ios,8,2016,60102
microsoft,windows,9,2017,78203
samsung,android,10,2020,73446
huawei,android,5,2018,40702
google,android,7,2010,37032
apple,ios,5,2016,60105
huawei,android,9,2017,52339
huawei,android,5,2011,27787
apple,ios,7,2011,43240
huawei,android,7,2017,34694
apple,ios,7,2012,51122
apple,ios,9,2019,77716
apple,ios,7,2016,63830
samsung,android,6,2013,33443
samsung,android,6,2018,55540
apple,ios,5,2018,55326
apple,ios,8,2019,59420
apple,ios,10,2019,94990
huawei,android,9,2017,48839
apple,ios,10,2010,58823
huawei,android,5,2015,32256
huawei,android,9,2019,67174
microsoft,windows,5,2010,44536
google,android,5,2018,50890
google,android,7,2011,43983
huawei,android,8,2014,32334
google,android,8,2010,35698
samsung,android,9,2020,69212
huawei,android,5,2010,26334
apple,ios,6,2018,63709
apple,ios,5,2018,48978
huawei,android,6,2020,42085
huawei,android,7,2020,39099
samsung,android,8,2013,38145
huawei,android,10,2013,45676
google,android,6,2019,48909
microsoft,windows,10,2014,62087
google,android,10,2019,71028
huawei,android,8,2017,39172
microsoft,windows,8,2015,53324
huawei,android,7,2020,38738
microsoft,windows,9,2019,77899
huawei,android,5,2014,27646
apple,ios,5,2010,47380
apple,ios,6,2015,56746
huawei,android,5,2017,40416
google,android,8,2012,40556
apple,ios,5,2016,51907
huawei,android,10,2014,43909
microsoft,windows,9,2012,49711
huawei,android,10,2013,44527
google,android,7,2015,41434
samsung,android,8,2016,45877
samsung,android,10,2015,64747
huawei,android,9,2016,63521
google,android,8,2011,34270
apple,ios,8,2012,46758
google,android,10,2013,58699
huawei,android,6,2018,37346
apple,ios,10,2013,58812
microsoft,windows,10,2017,75232
apple,ios,9,2015,77323
huawei,android,5,2018,39243
apple,ios,5,2011,52882
huawei,android,8,2014,27900
samsung,android,10,2012,64669
samsung,android,7,2015,54022
google,android,10,2015,71117
microsoft,windows,7,2020,46742
microsoft,windows,8,2016,50164
huawei,android,9,2016,51046
samsung,android,6,2020,48802
microsoft,windows,5,2011,43944
samsung,android,6,2020,50299
microsoft,windows,6,2019,55411
samsung,android,8,2019,41983
apple,ios,9,2017,93149
apple,ios,5,2020,56468
google,android,10,2013,58361
samsung,android,8,2017,47318
google,android,8,2020,53693
microsoft,windows,6,2017,46080
apple,ios,8,2012,38514
microsoft,windows,9,2014,49992
google,android,5,2016,46665
google,android,6,2010,43384
huawei,android,8,2015,37108
samsung,android,10,2014,53801
huawei,android,5,2011,28293
samsung,android,9,2019,73919
huawei,android,5,2011,26927
samsung,android,8,2010,38166
microsoft,windows,5,2010,35668
huawei,android,10,2012,52944
huawei,android,6,2012,33783
apple,ios,5,2017,59846
huawei,android,7,2013,28312
apple,ios,5,2017,64925
huawei,android,5,2019,40086
samsung,android,6,2020,54752
samsung,android,8,2012,35239
samsung,android,5,2013,33064
samsung,android,5,2019,44782
apple,ios,7,2014,52993
google,android,5,2011,42915
apple,ios,9,2013,59722
samsung,android,7,2013,36322
apple,ios,8,2016,66551
apple,ios,7,2019,53739
samsung,android,10,2020,80263
huawei,android,10,2018,62398
samsung,android,6,2020,41153
google,android,6,2019,54714
apple,ios,9,2015,99397
huawei,android,6,2016,32378
microsoft,windows,7,2012,34921
google,android,10,2010,53198
samsung,android,8,2012,39131
samsung,android,9,2011,48064
samsung,android,5,2020,45018
huawei,android,5,2012,32272
microsoft,windows,9,2018,75109
huawei,android,5,2013,32498
apple,ios,6,2014,52083
huawei,android,7,2014,35442
samsung,android,10,2011,58601
apple,ios,6,2010,50943
huawei,android,10,2011,52474
apple,ios,6,2016,62258
